Alpha,T1-25.0 ft/s-LLT, , 
         -4.9,     0.1022165, , 
        -4.85,     0.1000438, , 
         -4.8,    0.09786976, , 
        -4.75,    0.09568897, , 
         -4.7,    0.09350822, , 
        -4.65,    0.09131494, , 
         -4.6,    0.08911491, , 
        -4.55,    0.08691304, , 
         -4.5,    0.08470882, , 
        -4.45,    0.08249495, , 
         -4.4,    0.08027774, , 
        -4.35,    0.07805809, , 
         -4.3,    0.07579963, , 
        -4.25,    0.07351307, , 
         -4.2,    0.07121819, , 
        -4.15,    0.06891898, , 
         -4.1,     0.0666171, , 
        -4.05,    0.06431377, , 
           -4,    0.06200701, , 
        -3.95,    0.05969523, , 
         -3.9,    0.05737963, , 
        -3.85,    0.05506596, , 
         -3.8,    0.05275256, , 
        -3.75,    0.05043801, , 
         -3.7,    0.04812251, , 
        -3.65,    0.04580569, , 
         -3.6,    0.04348846, , 
        -3.55,    0.04119804, , 
         -3.5,    0.03892035, , 
        -3.45,    0.03664839, , 
         -3.4,    0.03438003, , 
        -3.35,     0.0321154, , 
         -3.3,    0.02985358, , 
        -3.25,    0.02759115, , 
         -3.2,    0.02532818, , 
        -3.15,     0.0230599, , 
         -3.1,    0.02079165, , 
        -3.05,    0.01852223, , 
           -3,    0.01625077, , 
        -2.95,    0.01397952, , 
         -2.9,    0.01170977, , 
        -2.85,   0.009439137, , 
         -2.8,   0.007167086, , 
        -2.75,   0.004893748, , 
         -2.7,   0.002618873, , 
        -2.65,  0.0003442455, , 
         -2.6,  -0.001931463, , 
        -2.55,  -0.004208281, , 
         -2.5,  -0.006484163, , 
        -2.45,  -0.008760993, , 
         -2.4,   -0.01103898, , 
        -2.35,   -0.01331872, , 
         -2.3,   -0.01560058, , 
        -2.25,   -0.01788436, , 
         -2.2,   -0.02017018, , 
        -2.15,   -0.02245724, , 
         -2.1,   -0.02474623, , 
        -2.05,   -0.02703684, , 
           -2,   -0.02932826, , 
        -1.95,   -0.03162106, , 
         -1.9,   -0.03391427, , 
        -1.85,    -0.0362083, , 
         -1.8,   -0.03850397, , 
        -1.75,   -0.04080184, , 
         -1.7,   -0.04310086, , 
        -1.65,   -0.04540063, , 
         -1.6,   -0.04770172, , 
        -1.55,   -0.04999709, , 
         -1.5,    -0.0522978, , 
        -1.45,   -0.05460073, , 
         -1.4,   -0.05690608, , 
        -1.35,   -0.05921289, , 
         -1.3,   -0.06152248, , 
        -1.25,   -0.06383116, , 
         -1.2,   -0.06614303, , 
        -1.15,   -0.06845444, , 
         -1.1,   -0.07076909, , 
        -1.05,   -0.07308495, , 
           -1,    -0.0754007, , 
        -0.95,   -0.07771916, , 
         -0.9,   -0.08003852, , 
        -0.85,   -0.08235976, , 
         -0.8,   -0.08467676, , 
        -0.75,   -0.08699586, , 
         -0.7,   -0.08931687, , 
        -0.65,   -0.09164026, , 
         -0.6,   -0.09396495, , 
        -0.55,   -0.09629244, , 
         -0.5,   -0.09861992, , 
        -0.45,    -0.1009504, , 
         -0.4,    -0.1032809, , 
        -0.35,    -0.1056146, , 
         -0.3,    -0.1079493, , 
        -0.25,    -0.1102843, , 
         -0.2,    -0.1126217, , 
        -0.15,    -0.1149592, , 
         -0.1,    -0.1172976, , 
        -0.05,    -0.1196329, , 
            0,    -0.1219713, , 
         0.05,    -0.1243114, , 
          0.1,    -0.1266536, , 
         0.15,     -0.128996, , 
          0.2,     -0.131341, , 
         0.25,    -0.1336873, , 
          0.3,     -0.136036, , 
         0.35,    -0.1383854, , 
          0.4,    -0.1407358, , 
         0.45,    -0.1430893, , 
          0.5,    -0.1454428, , 
         0.55,    -0.1477973, , 
          0.6,    -0.1501529, , 
         0.65,    -0.1525062, , 
          0.7,     -0.154862, , 
         0.75,    -0.1572196, , 
          0.8,    -0.1595778, , 
         0.85,    -0.1619396, , 
          0.9,    -0.1643023, , 
         0.95,    -0.1666673, , 
            1,    -0.1690326, , 
         1.05,    -0.1714005, , 
          1.1,    -0.1737691, , 
         1.15,      -0.17614, , 
          1.2,    -0.1785136, , 
         1.25,    -0.1808895, , 
          1.3,    -0.1832704, , 
         1.35,    -0.1856543, , 
          1.4,    -0.1880401, , 
         1.45,    -0.1904206, , 
          1.5,    -0.1927995, , 
         1.55,    -0.1951787, , 
          1.6,    -0.1975567, , 
         1.65,     -0.199935, , 
          1.7,    -0.2023152, , 
         1.75,    -0.2046961, , 
          1.8,    -0.2070782, , 
         1.85,    -0.2094591, , 
          1.9,     -0.211841, , 
         1.95,    -0.2142162, , 
            2,    -0.2165944, , 
         2.05,    -0.2189709, , 
          2.1,    -0.2213531, , 
         2.15,    -0.2237359, , 
          2.2,    -0.2261233, , 
         2.25,    -0.2285065, , 
          2.3,    -0.2308951, , 
         2.35,    -0.2332873, , 
          2.4,    -0.2356801, , 
         2.45,    -0.2380764, , 
          2.5,    -0.2404739, , 
         2.55,    -0.2428696, , 
          2.6,    -0.2452534, , 
         2.65,    -0.2476434, , 
          2.7,    -0.2500342, , 
         2.75,    -0.2524294, , 
          2.8,    -0.2548201, , 
         2.85,    -0.2572148, , 
          2.9,    -0.2596127, , 
         2.95,    -0.2620062, , 
            3,    -0.2644035, , 
         3.05,    -0.2668017, , 
          3.1,    -0.2691967, , 
         3.15,     -0.271595, , 
          3.2,    -0.2739875, , 
         3.25,    -0.2763804, , 
          3.3,    -0.2787732, , 
         3.35,    -0.2811703, , 
          3.4,    -0.2835734, , 
         3.45,    -0.2859718, , 
          3.5,    -0.2883748, , 
         3.55,    -0.2907791, , 
          3.6,    -0.2931731, , 
         3.65,    -0.2955772, , 
          3.7,    -0.2979834, , 
         3.75,    -0.3003883, , 
          3.8,    -0.3027934, , 
         3.85,    -0.3051898, , 
          3.9,    -0.3075913, , 
         3.95,    -0.3099944, , 
            4,    -0.3123917, , 
         4.05,    -0.3148005, , 
          4.1,    -0.3172053, , 
         4.15,    -0.3196174, , 
          4.2,    -0.3220287, , 
         4.25,    -0.3244352, , 
          4.3,    -0.3268446, , 
         4.35,    -0.3292565, , 
          4.4,    -0.3316704, , 
         4.45,    -0.3340707, , 
          4.5,    -0.3364788, , 
         4.55,    -0.3388876, , 
          4.6,    -0.3412979, , 
         4.65,    -0.3437109, , 
          4.7,     -0.346117, , 
         4.75,    -0.3485299, , 
          4.8,    -0.3509468, , 
         4.85,    -0.3533646, , 
          4.9,    -0.3557813, , 

