Alpha,T1-12.0 m/s-VLM2, , 
         -4.2,     0.4935965, , 
         -4.1,     0.4928064, , 
           -4,     0.4920207, , 
         -3.9,      0.491229, , 
         -3.8,     0.4904422, , 
         -3.7,     0.4896433, , 
         -3.6,      0.488841, , 
         -3.5,     0.4880301, , 
         -3.4,     0.4872236, , 
         -3.3,     0.4864073, , 
         -3.2,     0.4855876, , 
         -3.1,     0.4847643, , 
           -3,     0.4839375, , 
         -2.9,     0.4831064, , 
         -2.8,     0.4822712, , 
         -2.7,      0.481432, , 
         -2.6,     0.4805889, , 
         -2.5,     0.4797418, , 
         -2.4,     0.4788911, , 
         -2.3,     0.4780368, , 
         -2.2,     0.4771768, , 
         -2.1,     0.4763167, , 
           -2,     0.4754508, , 
         -1.9,     0.4745812, , 
         -1.8,     0.4737079, , 
         -1.7,      0.472831, , 
         -1.6,     0.4719501, , 
         -1.5,     0.4710655, , 
         -1.4,     0.4701772, , 
         -1.3,     0.4692852, , 
         -1.2,     0.4683896, , 
         -1.1,     0.4674903, , 
           -1,     0.4665872, , 
         -0.9,     0.4656805, , 
         -0.8,     0.4647701, , 
         -0.7,     0.4638561, , 
         -0.6,     0.4629387, , 
         -0.5,     0.4620176, , 
         -0.4,     0.4610929, , 
         -0.3,     0.4601643, , 
         -0.2,      0.459233, , 
         -0.1,     0.4582977, , 
            0,     0.4573589, , 
          0.1,     0.4564167, , 
          0.2,     0.4554709, , 
          0.3,     0.4545216, , 
          0.4,     0.4535689, , 
          0.5,     0.4526127, , 
          0.6,     0.4516531, , 
          0.7,       0.45069, , 
          0.8,     0.4497236, , 
          0.9,     0.4487538, , 
            1,     0.4477806, , 
          1.1,     0.4468041, , 
          1.2,     0.4458242, , 
          1.3,      0.444841, , 
          1.4,     0.4438545, , 
          1.5,     0.4428647, , 
          1.6,     0.4418717, , 
          1.7,     0.4408754, , 
          1.8,     0.4398758, , 
          1.9,      0.438873, , 
            2,     0.4378667, , 
          2.1,     0.4368569, , 
          2.2,     0.4358436, , 
          2.3,     0.4348268, , 
          2.4,     0.4338066, , 
          2.5,     0.4327832, , 
          2.6,      0.431757, , 
          2.7,     0.4307277, , 
          2.8,     0.4296954, , 
          2.9,     0.4286599, , 
            3,     0.4276213, , 
          3.1,     0.4265797, , 
          3.2,     0.4255354, , 
          3.3,     0.4244881, , 
          3.4,     0.4234379, , 
          3.5,     0.4223848, , 
          3.6,      0.421329, , 
          3.7,     0.4202702, , 
          3.8,     0.4192083, , 
          3.9,     0.4181438, , 
            4,     0.4170764, , 
          4.1,     0.4160062, , 
          4.2,     0.4149331, , 
          4.3,     0.4138572, , 
          4.4,     0.4127789, , 
          4.5,     0.4116974, , 
          4.6,     0.4106127, , 
          4.7,     0.4095257, , 
          4.8,     0.4084359, , 
          4.9,     0.4073433, , 
            5,     0.4062481, , 
          5.1,     0.4051503, , 
          5.2,     0.4040499, , 
          5.3,     0.4029466, , 
          5.4,     0.4018407, , 
          5.5,     0.4007321, , 
          5.6,     0.3996208, , 
          5.7,     0.3985069, , 
          5.8,     0.3973903, , 
          5.9,     0.3962711, , 
            6,     0.3951495, , 
          6.1,     0.3940255, , 
          6.2,     0.3928989, , 
          6.3,     0.3917698, , 
          6.4,     0.3906381, , 
          6.5,     0.3895039, , 
          6.6,      0.388367, , 
          6.7,     0.3872276, , 
          6.8,     0.3860858, , 
          6.9,     0.3849415, , 
            7,     0.3837949, , 
          7.1,     0.3826459, , 
          7.2,     0.3814944, , 
          7.3,     0.3803406, , 
          7.4,     0.3791845, , 
          7.5,     0.3780263, , 
          7.6,     0.3768658, , 
          7.7,      0.375703, , 
          7.8,      0.374538, , 
          7.9,     0.3733706, , 
            8,      0.372201, , 
          8.1,     0.3710291, , 
          8.2,      0.369855, , 
          8.3,     0.3686786, , 
          8.4,     0.3674999, , 
          8.5,     0.3663189, , 
          8.6,     0.3651358, , 
          8.7,     0.3639506, , 
          8.8,     0.3627632, , 
          8.9,     0.3615736, , 
            9,     0.3603819, , 
          9.1,     0.3591881, , 
          9.2,     0.3579922, , 
          9.3,     0.3567943, , 
          9.4,     0.3555943, , 
          9.5,     0.3543922, , 
          9.6,     0.3531884, , 
          9.7,     0.3519825, , 
          9.8,     0.3507746, , 

